I_D,FLAG_TSUNA,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPT,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_N,LATITUDE,LONGITUDE,REGION_COD,DEATHS,DEATHS_DES,MISSING,MISSING_DE,INJURIES,INJURIES_D,DAMAGE_MIL,DAMAGE_DES,HOUSES_DES,HOUSES_D_1,HOUSES_DAM,HOUSES_D_2,TOTAL_DEAT,TOTAL_DE_1,TOTAL_MISS,TOTAL_MI_1,TOTAL_INJU,TOTAL_IN_1,TOTAL_DAMA,TOTAL_DA_1,TOTAL_HOUS,TOTAL_HO_1,TOTAL_HO_2,TOTAL_HO_3
2595,Tsu,1901,8,9,13,1,,60,8.400000000000000,,8.400000000000000,,,,8.400000000000000,,NEW CALEDONIA,,NEW CALEDONIA:  LOYALTY ISLANDS,-22.000000000000000,170.000000000000000,170,,,,,,,,1,,,,,,1,,,,,,2,,,,
2596,Tsu,1901,8,9,18,33,45,33,8.199999999999999,,8.199999999999999,,,,,,JAPAN,,JAPAN:  OFF NORTHEAST COAST HONSHU,40.600000000000001,142.300000000000011,30,18,1,,,,,,2,8,1,,,18,1,,,,,,2,8,1,,
2597,Tsu,1901,8,9,20,0,,33,6.300000000000000,,6.300000000000000,,,,,,JAPAN,,JAPAN:  OFF NORTHEAST COAST HONSHU,40.500000000000000,142.500000000000000,30,,,,,,,,,,,,,,,,,,,,,,,,
2598,Tsu,1901,9,10,0,30,,,,,,,,,,7,PHILIPPINES,,"PHILIPPINES:  LUZON:  E TAYABAS,CALAUAG BAY",14.000000000000000,121.599999999999994,170,,,,,,,,2,,,,2,,,,,,,,2,,,,2
9352,Tsu,1901,10,8,2,16,,,7.000000000000000,,7.000000000000000,,,,,,NICARAGUA,,NICARAGUA,11.000000000000000,-86.500000000000000,100,,,,,,,,1,,,,,,,,,,,,1,,,,
2599,,1901,11,8,10,18,,,6.100000000000000,,,,,,6.100000000000000,8,TURKEY,,"TURKEY:  HASANKALE,HINS,ERZURUM",40.000000000000000,41.500000000000000,140,,,,,,,,3,,,,,,,,,,,,,,,,
2601,,1901,12,14,22,57,45,33,7.800000000000000,,7.800000000000000,,,,,7,PHILIPPINES,,PHILIPPINES:  LUZON,14.000000000000000,122.000000000000000,170,,,,,,,,1,,,,,,,,,,,,1,,,,
2602,,1901,12,18,3,51,,,5.900000000000000,,5.900000000000000,,,,,8,TURKEY,,"TURKEY:  AYVALIK, MOSKO IS; GREECE:  KHIOS",39.399999999999999,26.699999999999999,140,,,,,,,,2,,,,,,,,,,,,,,,,
2603,Tsu,1901,12,31,9,2,30,,7.800000000000000,,7.800000000000000,,,,7.800000000000000,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,51.450000000000003,-171.020000000000010,150,,,,,,,,1,,,,,,,,,,,,,,,,
2606,,1902,1,1,5,20,,,7.800000000000000,,,,,,7.800000000000000,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,52.399999999999999,-167.500000000000000,150,,,,,,,,,,,,,,,,,,,,,,,,
2608,,1902,1,16,,,,,7.000000000000000,,7.000000000000000,,,,,,MEXICO,,MEXICO:  GUERRERO,17.600000000000001,-99.700000000000003,150,2,1,,,,,,2,,,,,2,1,,,2,1,,2,,,,
8773,Tsu,1902,1,18,23,23,,,6.300000000000000,,6.300000000000000,,,,,,GUATEMALA,,"GUATEMALA:  SAN MARTIN, QUEZALTENANGO",14.710000000000001,-91.590000000000003,100,,,,,,,,1,,1,,1,,,,,,,,1,,1,,
2610,,1902,1,24,23,27,,60,7.800000000000000,,7.800000000000000,,,,,,PAPUA NEW GUINEA,,PAPUA NEW GUINEA,-8.000000000000000,150.000000000000000,170,,,,,,,,,,,,,,,,,,,,,,,,
2612,,1902,2,9,7,35,,60,7.800000000000000,,,,,,7.800000000000000,,TONGA,,TONGA ISLANDS,-20.000000000000000,-174.000000000000000,170,,,,,,,,,,,,,,,,,,,,,,,,
2614,Tsu,1902,2,26,,,,,7.000000000000000,,7.000000000000000,,,,,,EL SALVADOR,,EL SALVADOR-GUATEMALA,13.500000000000000,-89.500000000000000,100,,,,,,,,,,,,,185,3,,,100,2,,3,,,,
2618,Tsu,1902,4,19,2,23,30,33,7.500000000000000,,7.500000000000000,,,,,,GUATEMALA,,"GUATEMALA:  QUEZALTENANGO, SAN MARCOS",14.000000000000000,-91.000000000000000,100,2000,4,,,,,,3,,,,,2000,4,,,,,,3,,,,
2619,,1902,4,29,6,57,,,,,,,,,,7,USA,CA,CALIFORNIA:  SOUTHERN,34.500000000000000,-120.500000000000000,150,,,,,,,,2,,,,,,,,,,,,,,,,
2621,,1902,6,9,,,,,,,,,,,,,IRAN,,"IRAN:  QESHM,BANDAR ABBAS",26.600000000000001,56.200000000000003,140,10,1,,,,,,2,,,,,,,,,,,,,,,,
2623,Tsu,1902,7,5,14,56,30,,6.600000000000000,,6.600000000000000,,,,,9,TURKEY,,TURKEY:  THESSALONIKI,40.750000000000000,23.250000000000000,140,,,,,,,,,,,,,,,,,,,,,,,,
2624,,1902,7,9,3,38,,,,,,,,,,,IRAN,,"IRAN:  QESHM ISLAND:  QESHM,BANDAR ABBAS,GENU",27.100000000000001,56.299999999999997,140,,,,,,,,2,,,,,,,,,,,,,,,,
2626,Tsu,1902,8,21,11,17,,,7.300000000000000,,7.300000000000000,,,,,10,PHILIPPINES,,"PHILIPPINES:  MINDANAO:  LANAO, COTABATO",7.500000000000000,123.500000000000000,170,,3,,,,,,3,,3,,,,3,,,,,,3,,3,,
2632,,1902,8,26,1,9,,,,,,,,,,9,PHILIPPINES,,"PHILIPPINES:  ILOILO,PANAY",10.800000000000001,122.599999999999994,170,,,,,,,,3,,,,,,,,,,,,,,,,
2634,,1902,9,22,1,46,30,33,8.100000000000000,,8.100000000000000,,,,,9,USA TERRITORY,GU,GUAM:  AGANA,18.000000000000000,146.000000000000000,170,,,,,,1,,3,,,,,,,,,,1,,3,,,,
2637,,1902,12,12,23,10,,60,7.800000000000000,,7.800000000000000,,,,,,MEXICO,,MEXICO:  BAJA CALIFORNIA,29.000000000000000,-114.000000000000000,150,,,,,,,,,,,,,,,,,,,,,,,,
2641,,1903,1,4,5,7,,400,8.000000000000000,,8.000000000000000,,,,,,TONGA,,TONGA ISLANDS,-20.000000000000000,-175.000000000000000,170,,,,,,,,,,,,,,,,,,,,,,,,
2642,,1903,1,14,1,47,36,33,7.700000000000000,,7.700000000000000,,,,,,MEXICO,,MEXICO:  OFF COAST OF GUERRERO,15.000000000000000,-98.000000000000000,150,,,,,,,,,,,,,,,,,,,,,,,,
7101,Tsu,1903,2,10,2,28,,,,,,,,,,7,USA TERRITORY,GU,GUAM,14.000000000000000,143.300000000000011,170,,,,,,,,1,,,,1,,,,,,,,1,,,,1
2645,,1903,2,27,0,43,18,,8.100000000000000,,8.100000000000000,,,,,,INDONESIA,,INDONESIA:  S OF JAVA,-8.000000000000000,106.000000000000000,170,,,,,,,,,,,,,,,,,,,,,,,,
2646,,1903,3,29,22,30,,,5.700000000000000,,,,,,5.700000000000000,,ISRAEL,,ISRAEL:  NABULUS,32.200000000000003,35.299999999999997,140,20,1,,,,,,,,,,,,,,,,,,,,,,
6237,Tsu,1903,3,30,,,,33,6.500000000000000,,6.500000000000000,,,,,,INDONESIA,,"INDONESIA:  TIFU, MASARETE, KAJELI",-3.000000000000000,127.500000000000000,170,,,,,,,,,,,,,,,,,,,,,,,,
2652,,1903,5,13,6,34,6,60,7.900000000000000,,7.900000000000000,,,,,,VANUATU,,VANUATU ISLANDS,-17.000000000000000,168.000000000000000,170,,,,,,,,,,,,,,,,,,,,,,,,
7784,Tsu,1903,5,13,,,,,,,,,,,,,ITALY,,ITALY:  PALERMO,38.100000000000001,13.400000000000000,130,,,,,,,,,,,,,,,,,,,,,,,,
