ms,fd,wh
6.8,17,7.3
7.1,33,0.53
7.1,32,0.34
7.5,27,0.09
6.8,22,0.2
8,21,0.2
6.9,23,4
6.6,14,0.5
6.9,13,0.1
7.7,20,1
7.1,11,3
6.5,14,0.6
7.3,46,0.4
7.8,30,11
7.2,23,2.59
7.4,33,1.5
6.9,28,0.1
6.9,20,0.1
6.4,20,1.1
7.3,10,3.43
7.9,33,7.7
7.6,24,5.1
8.1,33,0.1
6.6,10,0.51
6.9,21,0.18
7.6,33,0.3
7.1,24,0.09
5.1,33,0.11
7,10,0.2
6.4,20,0.55
6.6,10,0.4
6.6,22,0.2
7.3,33,3
7.9,33,0.03
6.8,20,8
6.5,10,0.01
7.6,33,0.13
8,10,15.03
7.3,33,2.75
7.1,25,2.52
7.7,33,6.6
7.8,13,0.5
7.3,33,6
5.4,38,0.3
7.5,26,0.07
7.8,10,0.07
6.1,10,0.14
5.9,10,3
6.5,10,0.25
8.2,17,8.8
7.8,60,0.11
8.2,33,0.12
5.8,20,3
7.3,14,3
7.5,21,0.05
7.2,31,0.2
6.6,33,5.5
7.8,13,5
6.7,21,2
7.7,10,0.61
7.8,33,3
7.6,24,0.08
6.9,12,0.15
5.5,8,4.4
7.5,28,0.32
8.1,27,0.33
6.8,10,0.15
5.9,10,1
6.5,17,0.63
4.8,27,0.93
7,14,0.06
6.4,10,0.7
6.1,14,0.12
7.1,10,0.3
6.7,39,50.9
7.7,10,0.39
6.4,28,4.2
5.5,12,0.4
8.4,30,0.1
6.7,19,0.05
7.1,10,0.42
6.8,36,3.5
6.8,11,0.27
6.7,30,20.9
7.8,55,0.08
7.2,34,0.1
6.6,28,21.9
6.6,39,0.07
7.8,10,0.4
7.3,10,0.08
8.2,10,0.1
7,34,12.1
6.8,8,10
7.9,24,0.19
6.3,37,0.03
6.2,5,10.05
6.6,21,0.05
7.9,39,5
7.3,35,0.28
8.5,34,0.12
7.4,40,0.16
6.6,25,0.03
6.2,32,0.2
8.1,19,0.09
7,22,0.13
7,25,0.39
7.5,17,0.11
7.4,23,0.13
7.5,36,0.15
7.2,22,4
7.6,34,0.47
7.2,10,0.01
7.7,12,0.18
7.6,5,22.35
6.7,20,0.31
8.1,18,0.01
7.3,45,7.52
6.4,26,0.03
7.1,25,3.21
6.7,15,0.1
7.3,13,29
7,25,0.14
8.5,23,0.44
7,11,0.03
7.9,31,0.23
7.5,35,0.07
7.3,25,16.9
6.9,10,0.13
7.3,20,4.1
7.5,14,0.03
7.4,16,3.5
6.4,24,0.6
6.3,6,38.9
7.3,32,0.08
8.3,30,1.2
7,42,0.09
7.8,17,0.18
7,23,0.18
7.1,32,0.06
7.1,28,0.14
6.9,32,0.08
7.5,33,0.2
6.9,23,0.2
8.5,20,0.15
6.2,11,0.16
7.6,28,12.98
7.7,35,0.35
7.5,14,1
7.4,24,1.5
7.3,31,11
7.7,10,0.09
7.4,24,0.07
