ms,fd,wh
2.104134154,4.094344562,2.302585093
2.054123734,3.988984047,0
1.931521412,3.555348061,0.693147181
2.140066163,3.555348061,3.36729583
2.091864062,3.555348061,-0.430782916
1.945910149,1.609437912,-2.207274913
2.041220329,4.094344562,1.098612289
1.987874348,4.094344562,0
2.104134154,3.218875825,0
2.041220329,3.555348061,0.405465108
2.041220329,3.401197382,-0.562118918
2.028148247,3.401197382,-0.579818495
2.116255515,3.218875825,-1.203972804
1.791759469,4.094344562,-0.287682072
1.887069649,2.995732274,-0.223143551
2.066862759,3.555348061,2.351375257
2.054123734,3.555348061,-0.634878272
2.128231706,4.094344562,0.693147181
2.014903021,2.302585093,1.252762968
1.945910149,2.708050201,-1.897119985
2.091864062,4.007333185,0.405465108
2.00148,2.302585093,0.182321557
1.757857918,4.86753445,0
2.151762203,4.094344562,0.693147181
2.066862759,3.555348061,0
2.079441542,3.401197382,2.302585093
2.079441542,2.708050201,2.833213344
1.987874348,2.708050201,3.737669618
2.079441542,2.708050201,1.609437912
2.028148247,2.708050201,-0.510825624
2.091864062,2.995732274,1.887069649
1.974081026,2.48490665,2.302585093
1.974081026,2.48490665,1.791759469
1.931521412,3.33220451,0
1.945910149,3.496507561,0.693147181
1.960094784,3.401197382,0.916290732
2.091864062,3.218875825,-0.494296322
1.85629799,4.382026635,-2.302585093
1.960094784,4.094344562,-1.203972804
2.151762203,3.496507561,-0.693147181
2.041220329,4.094344562,-2.302585093
1.960094784,4.17438727,-1.609437912
1.945910149,4.382026635,-0.356674944
2.014903021,3.912023005,-1.203972804
1.987874348,3.044522438,-1.203972804
2.116255515,3.80666249,1.877937165
2.140066163,3.091042453,2.912350665
1.974081026,3.496507561,-2.813410717
1.916922612,3.496507561,2.708050201
2.00148,4.094344562,1.098612289
2.00148,3.401197382,0
1.960094784,3.401197382,0
1.916922612,2.302585093,0
2.054123734,2.995732274,3.401197382
2.208274414,3.496507561,3.126760536
1.987874348,3.496507561,0.587786665
2.066862759,3.218875825,0.262364264
2.066862759,3.555348061,-0.916290732
2.00148,2.944438979,-2.302585093
1.609437912,3.688879454,-1.609437912
2.079441542,4.094344562,1.740466175
1.774952351,3.496507561,0
2.014903021,2.995732274,-0.287682072
1.902107526,2.995732274,-1.203972804
1.987874348,3.555348061,3.218875825
1.887069649,3.496507561,-1.203972804
2.00148,4.007333185,-0.430782916
1.871802177,4.787491743,-0.105360516
1.987874348,3.555348061,-0.105360516
1.871802177,2.708050201,-2.302585093
